name;norad_cat_id;epoch;tle_line1;tle_line2
ARSAT 2;40941;2025-10-05T10:51:26.497728;;
MORELOS 3;40946;2025-10-05T11:21:15.249888;;
LINGQIAO VIDEO A;40959;2025-10-05T12:40:32.782944;;
LINGQIAO VIDEO B;40960;2025-10-05T12:28:31.628064;;
JILIN-1;40961;2025-10-05T12:19:45.788160;;
AEROCUBE 5C;40965;2025-10-05T11:42:04.874688;;
AEROCUBE 7;40966;2025-10-05T11:40:49.798272;;
FOX-1A (AO-85);40967;2025-10-05T12:25:31.791648;;
SINOD-D 1;40968;2025-10-05T11:44:16.078272;;
SNAP-3 ALICE;40970;2025-10-05T07:24:01.723392;;
LMRST-SAT;40971;2025-10-05T09:52:45.276960;;
SNAP-3 EDDIE;40972;2025-10-05T06:06:12.188736;;
PROPCUBE 3;40973;2025-10-05T10:26:31.797600;;
BISONSAT;40974;2025-10-05T07:43:08.042304;;
SNAP-3 JIMI;40975;2025-10-05T09:42:54.859104;;
PROPCUBE 1 (FLORA);40976;2025-10-05T13:00:00.409824;;
SINOD-D 3;40977;2025-10-05T11:27:06.794208;;
APSTAR-9;40982;2025-10-05T11:22:38.705376;;
TURKSAT 4B;40984;2025-10-05T12:07:51.735360;;
NAVSTAR 75 (USA 265);41019;2025-10-05T00:09:24.869376;;
ZHONGXING-2C;41021;2025-10-05T12:23:06.107424;;
YAOGAN-28;41026;2025-10-05T12:56:52.367136;;
GSAT-15;41028;2025-10-05T11:54:21.364704;;
BADR-7 (ARABSAT-6B);41029;2025-10-05T03:27:08.212320;;
COSMOS 2510;41032;2025-09-24T12:40:19.290720;;
LAOSAT 1;41034;2025-10-05T12:30:12.925152;;
TELSTAR 12V;41036;2025-10-05T10:06:29.919168;;
YAOGAN-29;41038;2025-10-05T12:43:12.887328;;
ELEKTRO-L 2;41105;2025-10-05T04:58:21.963360;;
COSMOS 2513;41121;2025-10-05T15:42:03.669696;;
VELOX-CI;41166;2025-10-05T06:31:27.009696;;
KENT RIDGE 1;41167;2025-10-05T10:51:08.582688;;
DAMPE;41173;2025-10-05T11:45:38.091744;;
GSAT0209 (GALILEO 12);41174;2025-10-04T21:00:06.028128;;
GSAT0208 (GALILEO 11);41175;2025-10-02T17:58:19.360416;;
ORBCOMM FM114;41179;2025-10-05T07:25:49.840896;;
ORBCOMM FM110;41182;2025-10-05T07:14:11.669280;;
ORBCOMM FM118;41183;2025-10-05T06:22:29.986176;;
ORBCOMM FM112;41184;2025-10-05T11:26:16.588896;;
ORBCOMM FM113;41185;2025-10-05T09:14:38.308704;;
ORBCOMM FM108;41187;2025-10-05T11:33:00.209952;;
ORBCOMM FM117;41188;2025-10-05T12:23:08.523168;;
ORBCOMM FM116;41189;2025-10-05T10:20:46.291776;;
EXPRESS-AMU1;41191;2025-10-05T12:03:52.117056;;
GAOFEN-4;41194;2025-10-05T15:49:17.976576;;
BELINTERSAT-1;41238;2025-10-05T12:08:14.199360;;
JASON-3;41240;2025-10-05T11:28:50.569248;;
IRNSS-1E;41241;2025-09-24T20:33:38.651904;;
EUTELSAT 9B;41310;2025-10-05T03:22:16.176864;;
NAVSTAR 76 (USA 266);41328;2025-10-05T02:07:04.006848;;
COSMOS 2514 [GLONASS-M];41330;2025-10-05T00:10:57.578304;;
SENTINEL-3A;41335;2025-10-05T12:06:52.644672;;
HORYU-4;41340;2025-10-05T02:09:20.104992;;
SES-9;41380;2025-10-05T08:58:58.891008;;
EUTELSAT 65 WEST A;41382;2025-10-05T11:34:51.447360;;
IRNSS-1F;41384;2025-10-05T05:11:43.183392;;
COSMOS 2515;41394;2025-10-05T11:38:56.145120;;
BEIDOU-2 IGSO-6;41434;2025-10-05T07:12:46.575648;;
IRNSS-1G;41469;2025-10-05T10:47:40.970400;;
JCSAT-2B;41471;2025-10-05T05:51:38.722752;;
YAOGAN-30 01;41473;2025-10-05T12:15:49.247424;;
GSAT0211 (GALILEO 14);41549;2025-10-05T05:14:36.254688;;
GSAT0210 (GALILEO 13);41550;2025-10-03T03:06:51.074784;;
THAICOM 8;41552;2025-10-05T12:15:58.455936;;
ZIYUAN 3-2 (ZY 3-2);41556;2025-10-05T12:18:22.620384;;
COSMOS 2517 (GEO-IK 2);41579;2025-10-05T12:23:26.739744;;
INTELSAT 31 (IS-31);41581;2025-10-05T10:43:02.883360;;
BEIDOU-2 G7;41586;2025-10-05T12:25:05.915712;;
ABS-2A (MONGOLSAT-1);41588;2025-10-04T22:32:45.716928;;
EUTELSAT 117 WEST B;41589;2025-10-05T04:29:09.761856;;
BRISAT;41591;2025-10-05T03:46:39.639936;;
ECHOSTAR 18;41592;2025-10-05T10:38:45.325824;;
CARTOSAT-2C;41599;2025-10-05T11:53:05.241120;;
SKYSAT-C1;41601;2025-10-05T01:25:59.439072;;
LAPAN-A3;41603;2025-10-05T12:46:29.222688;;
BIROS;41604;2025-10-05T01:11:29.236416;;
M3MSAT;41605;2025-10-05T01:33:17.623584;;
MUOS-5;41622;2025-10-05T11:23:00.084192;;
SJ 16-02;41634;2025-10-05T12:22:06.416256;;
TIANTONG-1 1;41725;2025-10-05T14:34:49.357344;;
GAOFEN-3;41727;2025-10-05T12:52:34.558176;;
JCSAT-16;41729;2025-10-05T05:43:32.632032;;
QSS (MOZI);41731;2025-10-05T12:20:13.451712;;
USA 270;41744;2025-10-04T05:41:21.112224;;
USA 271;41745;2025-10-04T08:58:17.227200;;
INTELSAT 36 (IS-36);41747;2025-10-05T03:39:07.062048;;
INSAT-3DR;41752;2025-10-05T08:48:59.847840;;
PERUSAT 1;41770;2025-10-05T12:26:52.630080;;
SKYSAT-C4;41771;2025-10-05T11:33:08.517312;;
SKYSAT-C5;41772;2025-10-05T09:47:32.527104;;
SKYSAT-C2;41773;2025-10-05T11:32:59.612064;;
SKYSAT-C3;41774;2025-10-05T02:06:50.879232;;
PISAT;41784;2025-10-05T11:21:07.253568;;
ALSAT 1B;41785;2025-10-05T11:46:18.349824;;
ALSAT 2B;41786;2025-10-05T11:26:23.568288;;
PATHFINDER 1;41787;2025-10-05T10:59:18.799008;;
SCATSAT 1;41790;2025-10-05T10:48:16.104096;;
GSAT-18;41793;2025-10-05T12:14:36.089088;;
SKY MUSTER 2 (NBN1B);41794;2025-10-05T03:35:23.839872;;
HIMAWARI-9;41836;2025-10-05T05:42:40.214880;;
SHIJIAN-17 (SJ-17);41838;2025-10-04T16:33:55.275840;;
CAS-2T & KS-1Q;41847;2025-10-05T10:32:59.565984;;
RAVAN;41849;2025-10-05T03:41:39.208128;;
CELTEE 1;41850;2025-10-05T07:31:57.483264;;
OPTICUBE 04;41851;2025-10-05T12:02:09.117024;;
AEROCUBE 8D;41852;2025-10-05T11:44:37.668768;;
AEROCUBE 8C;41853;2025-10-05T11:36:48.522816;;
PROMETHEUS 2-1;41854;2025-10-04T21:27:26.385696;;
PROMETHEUS 2-3;41855;2025-10-05T08:28:00.518592;;
YUNHAI-1 01;41857;2025-10-05T11:01:42.964320;;
GSAT0207 (GALILEO 15);41859;2025-10-02T19:43:47.746560;;
GSAT0212 (GALILEO 16);41860;2025-10-05T00:31:54.981696;;
GSAT0213 (GALILEO 17);41861;2025-10-04T19:16:42.127104;;
GSAT0214 (GALILEO 18);41862;2025-10-04T22:46:49.109664;;
GOES 16;41866;2025-10-05T11:23:37.523040;;
TIANLIAN 1-04;41869;2025-10-05T13:07:38.690976;;
GOKTURK 1A;41875;2025-10-05T12:14:22.544160;;
RESOURCESAT-2A;41877;2025-10-05T11:54:56.985696;;
WGS F8 (USA 272);41879;2025-10-05T05:45:17.462880;;
FENGYUN 4A;41882;2025-10-05T12:28:50.556576;;
CYGFM05;41884;2025-10-05T00:36:20.492352;;
CYGFM04;41885;2025-10-05T12:56:52.222848;;
CYGFM02;41886;2025-10-05T05:09:30.771936;;
CYGFM01;41887;2025-10-05T01:04:19.804224;;
CYGFM08;41888;2025-10-04T22:55:51.761280;;
CYGFM07;41890;2025-10-04T22:01:21.665568;;
CYGFM03;41891;2025-10-04T21:04:32.140992;;
ECHOSTAR 19;41893;2025-10-05T11:25:52.307040;;
ARASE (ERG);41896;2025-09-20T18:05:31.109856;;
TANSAT;41898;2025-10-05T13:11:03.617088;;
YIJIAN;41899;2025-10-05T11:40:52.327200;;
SPARK 1;41900;2025-10-05T11:19:38.647776;;
SPARK 2;41901;2025-10-05T11:41:42.300096;;
JCSAT-110A (JCSAT-15);41903;2025-10-05T10:42:11.496096;;
STAR ONE D1;41904;2025-10-05T11:44:01.360032;;
TJS-2;41911;2025-10-05T12:12:28.791648;;
JILIN-1 03;41914;2025-10-05T12:01:45.813216;;
KAIDUN 1;41915;2025-10-04T08:45:24.799104;;
IRIDIUM 106;41917;2025-10-05T12:14:38.466816;;
IRIDIUM 103;41918;2025-10-05T06:54:58.460832;;
IRIDIUM 109;41919;2025-10-05T12:05:28.537728;;
IRIDIUM 102;41920;2025-10-05T06:18:25.654752;;
IRIDIUM 105;41921;2025-10-05T05:36:25.985376;;
IRIDIUM 104;41922;2025-10-05T11:38:05.752320;;
IRIDIUM 114;41923;2025-10-05T11:47:14.476128;;
IRIDIUM 108;41924;2025-10-05T09:07:02.445024;;
IRIDIUM 112;41925;2025-10-05T11:28:58.322784;;
IRIDIUM 111;41926;2025-10-05T11:10:42.242880;;
SBIRS GEO-4 (USA 273);41937;2025-10-05T11:59:22.549056;;
HISPASAT 36W-1;41942;2025-10-05T10:00:30.491712;;
TELKOM 3S;41944;2025-10-05T12:27:13.212288;;
INTELSAT 32E (IS-32E);41945;2025-10-05T08:15:40.544064;;
CARTOSAT-2D;41948;2025-10-05T11:07:46.937280;;
SENTINEL-2B;42063;2025-10-05T12:31:57.254880;;
ECHOSTAR 23;42070;2025-10-05T02:48:19.433376;;
WGS F9 (USA 275);42075;2025-10-05T08:24:32.195232;;
SES-10;42432;2025-10-05T11:34:28.983360;;
CHINASAT 16 (SJ-13);42662;2025-10-05T00:25:43.929984;;
KOREASAT 7;42691;2025-10-05T10:43:56.327808;;
SGDC;42692;2025-10-05T04:02:56.730624;;
GSAT-9;42695;2025-10-05T12:48:37.663200;;
INMARSAT 5-F4;42698;2025-10-05T03:35:52.374336;;
SES-15;42709;2025-10-05T11:16:38.191872;;
COSMOS 2518;42719;2025-10-01T06:41:02.540832;;
QZS-2 (MICHIBIKI-2);42738;2025-09-27T19:32:25.478592;;
VIASAT-2;42740;2025-10-05T06:11:42.522720;;
EUTELSAT 172B;42741;2025-10-05T09:17:04.654752;;
GSAT-19;42747;2025-10-05T12:07:14.293920;;
ECHOSTAR 21;42749;2025-10-05T08:30:39.108384;;
HXMT (HUIYAN);42758;2025-10-05T12:27:18.035136;;
ZHUHAI-1 02 (CAS-4B);42759;2025-10-05T11:25:10.263936;;
ZHUHAI-1 01 (CAS-4A);42761;2025-10-05T12:03:04.457952;;
CARTOSAT-2E;42767;2025-10-05T14:40:50.693376;;
BULGARIASAT-1;42801;2025-10-05T06:30:38.706048;;
IRIDIUM 113;42803;2025-10-05T10:41:51.231840;;
IRIDIUM 123;42804;2025-10-05T11:41:34.861056;;
IRIDIUM 120;42805;2025-10-05T10:32:42.945216;;
IRIDIUM 115;42806;2025-10-05T11:11:37.290912;;
IRIDIUM 118;42807;2025-10-05T12:27:14.901408;;
IRIDIUM 117;42808;2025-10-05T11:14:10.898880;;
IRIDIUM 126;42809;2025-10-05T11:50:43.228032;;
IRIDIUM 124;42810;2025-10-05T09:36:19.101312;;
IRIDIUM 128;42811;2025-10-05T11:37:21.950976;;
IRIDIUM 121;42812;2025-10-05T10:37:39.243648;;
