name;norad_cat_id;epoch;tle_line1;tle_line2
AMC-11;28252;2025-10-05T12:28:50.318112;;
INTELSAT 10-02;28358;2025-10-05T08:27:46.882944;;
NAVSTAR 55 (USA 178);28361;2025-10-02T03:25:54.602976;;
APRIZESAT 2;28366;2025-10-05T11:17:24.566208;;
SAUDICOMSAT 1;28369;2025-10-05T10:12:31.379616;;
SAUDICOMSAT 2;28370;2025-10-05T11:19:35.576256;;
SAUDISAT 2;28371;2025-10-05T12:23:45.746016;;
APRIZESAT 1;28372;2025-10-05T11:25:49.810080;;
AURA;28376;2025-10-05T12:00:21.233664;;
ANIK F2;28378;2025-10-05T11:21:52.691328;;
COSMOS 2407;28380;2025-10-05T11:40:24.843360;;
SHIJIAN-6 01A (SJ-6 01A);28413;2025-10-05T11:37:34.667328;;
SHIJIAN-6 01B (SJ-6 01B);28414;2025-10-05T12:54:58.022784;;
COSMOS 2408;28419;2025-10-05T13:32:53.480832;;
COSMOS 2409;28420;2025-10-05T12:46:37.225056;;
AMC-15;28446;2025-10-05T11:23:30.034752;;
JB-3 3 (ZY 2C);28470;2025-10-05T10:35:37.044672;;
NAVSTAR 56 (USA 180);28474;2025-10-02T06:52:21.688896;;
SWIFT;28485;2025-10-05T09:30:25.869600;;
NANOSAT-1;28493;2025-10-05T07:36:35.949600;;
COSMOS 2414;28521;2025-10-05T09:41:04.454592;;
NSS-10;28526;2025-10-05T08:17:17.888352;;
XM-3 (RHYTHM);28626;2025-10-05T11:20:46.944384;;
INMARSAT 4-F1;28628;2025-10-05T08:27:51.705792;;
IRS-P5 (CARTOSAT-1);28649;2025-10-05T11:05:42.249120;;
DIRECTV 8;28659;2025-10-05T11:19:30.418176;;
GALAXY 28 (G-28);28702;2025-10-05T11:32:01.681728;;
SJ-7;28737;2025-10-05T08:01:13.120032;;
THAICOM 4;28786;2025-10-05T12:27:43.163712;;
REIMEI (INDEX);28810;2025-10-05T08:12:56.223360;;
ANIK F1R;28868;2025-10-05T11:22:52.595040;;
NAVSTAR 57 (USA 183);28874;2025-10-05T02:14:05.344224;;
SYRACUSE 3A;28885;2025-10-05T11:59:45.013056;;
BEIJING 1;28890;2025-10-05T12:39:22.671936;;
SINAH 1;28893;2025-10-05T11:13:34.120992;;
CUBESAT XI-V;28895;2025-10-05T09:12:31.923648;;
INMARSAT 4-F2;28899;2025-10-05T07:26:15.283104;;
COSMOS 2416;28908;2025-10-05T12:42:53.290080;;
METEOSAT-9 (MSG-2);28912;2025-10-05T12:06:36.855072;;
EUTELSAT 174A;28924;2025-10-05T09:17:42.096192;;
ECHOSTAR 10;28935;2025-10-05T11:25:37.756416;;
SPAINSAT;28945;2025-10-05T01:03:57.544992;;
JCSAT-5A;29045;2025-10-05T10:48:25.898400;;
ASTRA 1KR;29055;2025-10-05T06:14:38.814144;;
EROS B;29079;2025-10-05T11:47:32.137152;;
RESURS-DK 1;29228;2025-10-05T10:03:28.994112;;
GALAXY 16 (G-16);29236;2025-10-05T11:25:14.868192;;
ARIRANG-2 (KOMPSAT-2);29268;2025-10-05T12:38:16.340064;;
EUTELSAT HOTBIRD 13B;29270;2025-10-05T12:02:44.725056;;
JCSAT-3A;29272;2025-10-05T12:30:05.436000;;
SYRACUSE 3B;29273;2025-10-05T06:30:38.706048;;
KOREASAT 5 (MUGUNGWHA 5);29349;2025-10-05T12:25:50.842848;;
HINODE (SOLAR-B);29479;2025-10-05T11:17:55.684032;;
NAVSTAR 58 (USA 190);29486;2025-10-05T09:53:11.819040;;
DIRECTV 9S;29494;2025-10-05T11:24:37.426752;;
OPTUS D1;29495;2025-10-05T10:23:38.715072;;
SHIJIAN-6 02A (SJ-6 02A);29505;2025-10-05T12:01:10.053120;;
SHIJIAN-6 02B (SJ-6 02B);29506;2025-10-05T12:41:04.416576;;
DMSP 5D-3 F17 (USA 191);29522;2025-10-05T11:00:48.311136;;
BADR-4;29526;2025-10-05T12:00:59.893344;;
NAVSTAR 59 (USA 192);29601;2025-10-05T03:28:41.312640;;
WILDBLUE-1;29643;2025-10-05T12:28:50.298240;;
LAPAN-TUBSAT;29709;2025-10-05T11:35:50.499168;;
THEMIS A;30580;2025-10-05T04:04:33.906432;;
SKYNET 5A;30794;2025-10-05T12:04:43.766112;;
THEMIS D;30797;2025-10-05T11:23:07.570752;;
THEMIS E;30798;2025-10-05T11:24:14.962752;;
ANIK F3;31102;2025-10-05T11:19:37.904736;;
HAIYANG-1B;31113;2025-10-05T11:43:17.175936;;
SAUDISAT 3;31118;2025-10-05T10:26:39.563232;;
SAUDICOMSAT 7;31119;2025-10-05T10:35:14.675712;;
SAUDICOMSAT 6;31121;2025-10-05T10:02:20.916096;;
SAUDICOMSAT 5;31124;2025-10-05T11:50:30.809760;;
SAUDICOMSAT 3;31125;2025-10-05T11:29:02.088096;;
SAUDICOMSAT 4;31127;2025-10-05T11:30:07.873056;;
ASTRA 1L;31306;2025-10-05T11:59:07.573344;;
GALAXY 17 (G-17);31307;2025-10-05T11:45:08.134272;;
YAOGAN-2;31490;2025-10-05T11:48:35.399232;;
GLOBALSTAR M069;31573;2025-10-05T07:35:44.207232;;
GLOBALSTAR M072;31574;2025-10-05T09:16:20.938080;;
COSMO-SKYMED 1;31598;2025-10-05T12:53:25.998144;;
TERRASAR-X;31698;2025-10-04T14:56:57.206112;;
COSMOS 2428;31792;2025-10-05T03:14:53.635200;;
ZHONGXING-6B;31800;2025-10-05T12:25:58.332000;;
DIRECTV 10;31862;2025-10-05T11:33:34.528896;;
WORLDVIEW-1 (WV-1);32060;2025-10-05T07:55:45.276096;;
OPTUS D2;32252;2025-10-05T10:01:00.444000;;
INTELSAT 11 (IS-11);32253;2025-10-05T10:23:02.714784;;
WGS F1 (USA 195);32258;2025-10-05T11:41:24.271008;;
NAVSTAR 60 (USA 196);32260;2025-10-05T10:47:03.785568;;
GLOBALSTAR M066;32265;2025-10-04T17:41:38.264352;;
COSMOS 2433 [GLONASS-M];32275;2025-10-05T02:36:18.331200;;
COSMOS 2432 [GLONASS-M];32276;2025-10-05T04:21:21.667392;;
SAR-LUPE 3;32283;2025-10-05T11:59:19.371264;;
YAOGAN-3;32289;2025-10-05T12:02:24.813312;;
